METADATA_CONFIG_KEY	LOGICAL_NAME	FILE_LANDING_SCHEMA	FILE_WILDCARD_PATTERN	FILE_TABLE_NAME	FILE_EXTENSION	SHEET_NAME	SOURCE_TYPE	ENABLED	BLOB_LAST_LOAD_DT	STAGE_LAST_LOAD_DT	TARGET_LAST_LOAD_DT	ROW_COUNT	ERROR_STATUS	FILE_FORMAT	HAS_HEADER	DATABASE_NAME	SCHEMA_NAME	SOURCE_TABLE_NAME	DELTA_COLUMN	DELTA_VALUE	CHANGE_TRACKING_TYPE	PRIORITY_FLAG	PAYLOAD	SERVER_NAME	FILE_SERVER_LOAD_TYPE	LAST_MODIFIED_DATE_LOADED	FILESTAMP_FORMAT	AUTO_INGEST	FILE_SERVER_FILEPATH	FIXED_WIDTH_FILETYPE	REGEX_PATTERN
a5bca1d5-cbb9-4316-8f04-b6ec01404677		AgentCubedODS					SQL	1	1900-01-01	2026-01-22 02:22:09.670	2026-01-22 02:22:42.098 -0800	0	0	HEART_PARQUET_FORMAT	Y	AgentCubedODS	A3_curr	AgencyManagementPartyEmail	1900-01-01	2025-03-25 15:41:37.520	INC	FALSE	{}	SHAREDSQL-TEST		1900-01-01					
4006ef4d-4da8-418d-85e3-89de1d954679	AgentCubedODS	AgentCubedODS					SQL	1	2025-11-11T23:15:34.7606304	2026-01-22 02:26:52.133	2026-01-22 02:27:45.242 -0800	8	0	HEART_PARQUET_FORMAT	Y	AgentCubedODS	A3_curr	BillingFrequency	SysUpdateDateTime	1900-01-01	INC	FALSE	{}	SHAREDSQL-TEST		1900-01-01					
fee2a398-8929-449f-9418-f12694cbd8fc	Survey data - MindfulODS						SQL	1	2026-01-22T11:49:57.2188997	2026-01-22 11:49:51.280	2026-01-22 11:50:30.361 -0800	172	0	HEART_PARQUET_FORMAT	Y	MindfulODS	dbo	users	LOAD_DATETIME	2026-01-22 11:49:51.280	FULL	FALSE	{}	SHAREDSQL-TEST		1900-01-01					
316472ea-2d27-41f8-92b4-c7e053881dd2			Genesys_Staging				SQL	1	2026-01-02T05:18:59.2986696	2026-01-02 05:18:52.380	2026-01-02 05:20:21.583 -0800	549		HEART_PARQUET_FORMAT	Y	GenesysODS	dbo	users_Backup	SysInsertDateTime	2026-01-01 04:00:28.630	INC			SHAREDSQL-TEST							
02c8d3b9-a028-429e-8242-e4ba0745b53f							SQL	1	2026-01-08T05:41:27.6158750	2026-01-08 05:41:19.333	2026-01-08 05:42:26.239 -0800	3579	0	HEART_PARQUET_FORMAT	Y	MDS	dbo	Geocoded_Column_Description	LOAD_DATETIME	2026-01-08 05:41:19.333	FULL	FALSE	{}	ScanODS-Test		1900-01-01					
49e281f3-376b-4198-899f-c921d1bcfd03							SQL	1	2026-01-08T05:41:38.4444226	2026-01-08 05:41:10.033	2026-01-08 05:42:12.950 -0800	3066561	0	HEART_PARQUET_FORMAT	Y	MDS	dbo	Geocoded_Districts_lkp	LOAD_DATETIME	2026-01-08 05:41:10.033	FULL	FALSE	{}	ScanODS-Test		1900-01-01					
158c7f24-7b8d-4552-b0ae-7c3a62bd22c3	AgentCubedODS	AgentCubedODS					SQL	1	2025-11-11T23:04:51.1283994	2026-01-22 02:16:00.637	2026-01-22 02:17:05.291 -0800	3	0	HEART_PARQUET_FORMAT	Y	AgentCubedODS	A3_curr	TaskStatus	SysUpdateDateTime	1900-01-01	INC	FALSE	{}	SHAREDSQL-TEST		1900-01-01					
aeb55b8b-926b-41c1-a5fe-e3e55fa5ddca							SQL	1	2026-01-06T07:37:25.2006032	2026-01-06 07:31:39.547	2026-01-06 07:40:26.783 -0800	25136638	0	HEART_PARQUET_FORMAT	Y	BIDProcess	dbo	outClaims_BD	LOAD_DATETIME	2026-01-06 07:31:39.547	FULL	FALSE	{}	BIMILL-APP-TEST		1900-01-01					
80371eca-c276-4cfe-9e4a-ed0300a47338	AgentCubedODS	AgentCubedODS					SQL	1	2025-11-11T23:17:13.0603801	2026-01-22 02:27:54.380	2026-01-22 02:29:01.796 -0800	1	0	HEART_PARQUET_FORMAT	Y	AgentCubedODS	A3_curr	CaseManagementType	SysUpdateDateTime	1900-01-01	INC	FALSE	{}	SHAREDSQL-TEST		1900-01-01					
289d2085-d1b1-4a0d-99e8-1ce4e1f03e3b	AgentCubedODS	AgentCubedODS					SQL	1	2025-11-11T23:22:43.5119944	2026-01-22 02:31:12.147	2026-01-22 02:33:11.610 -0800	5633974	0	HEART_PARQUET_FORMAT	Y	AgentCubedODS	A3_curr	CustomerChangeLog	SysUpdateDateTime	1900-01-01	INC	FALSE	{}	SHAREDSQL-TEST		1900-01-01					
